Year,Month,States Affected and Category by States,Category,Name,"Central Pressure","Max Wind"
1916,Jul,SC 2,2,-,960,95
1916,Aug,TX 4,4,-,932,115
1916,Oct,AL 2; FL 2,2,-,970,95
1917,Sep,FL 3; LA 2; AL 1,3,-,949,100
1918,Aug,LA 3; TX 1,3,-,955,105
1918,Aug,NC 1,1,-,988,65
1919,Sep,FL 4; TX 3,4,-,927,130
1920,Sep,LA 2,2,-,975,85
1921,Jun,TX 1,1,-,980,80
1921,Oct,FL 3,3,"Tampa Bay",958,100
1923,Oct,LA 1; MS 1,1,-,983,70
1924,Aug,NC 1; MA 1,1,,963,65
1924,Sep,FL 1,1,-,980,75
1924,Oct,FL 1,1,-,975,80
1926,Jul,FL 2,2,-,967,90
1926,Aug,LA 3,3,-,955,100
1926,Sep,FL 4; AL 3; MS 1,4,"Great Miami",930,125
1926,Oct,FL 1,1,-,949,75
1928,Aug,FL 2,2,-,977,85
1928,Sep,FL 4; GA 1; SC 1,4,"Lake Okeechobee",929,125
1929,Jun,TX 1,1,-,982,80
1929,Sp-Oc,FL 3,3,-,948,100
1932,Aug,TX 4,4,"Freeport",935,130
1932,Sep,AL 1; FL 1,1,-,979,75
1933,Jl-Au,TX 1; FL 1,1,-,975,80
1933,Aug,NC 1; VA 1; MD 1,1,-,963,80
1933,Sep,TX 3,3,-,940,110
1933,Sep,FL 3,3,-,948,110
1933,Sep,NC 2; VA 1,2,-,952,85
1934,Jun,LA 2,2,-,966,85
1934,Jul,TX 1,1,-,979,75
1934,Sep,NC 1; NJ 1; NY 1,1,-,975,65
1935,Sep,FL 5; GA 1,5,"Labor Day",892,160
1935,Nov,FL 2,2,-,965,85
1936,Jun,TX 1,1,-,987,70
1936,Jul,FL 2; AL1,2,-,964,90
1936,Sep,NC 1; VA 1,1,-,964,75
1938,Aug,LA 1,1,-,995,65
1938,Sep,NY 3; CT 3; RI 3; MA 2,3,"Great New England",941,105
1939,Aug,FL 1,1,-,985,65
1940,Aug,TX 2; LA 2,2,-,972,85
1940,Aug,SC 2; GA 1,2,-,972,85
1941,Sep,TX 3,3,-,942,110
1941,Oct,FL 2,2,-,980,85
1942,Aug,TX 1,1,-,992,65
1942,Aug,TX 3,3,-,950,100
1943,Jul,TX 2,2,-,967,90
1944,Aug,NC 1,1,-,985,70
1944,Sep,"NC 2; VA 2; NY 2; CT 1; RI 2; MA 1; NJ 1",2,"Great Atlantic",954,90
1944,Oct,FL 3,3,-,949,105
1945,Jun,FL 1,1,-,985,70
1945,Aug,TX 2,3,-,963,100
1945,Sep,FL 4,4,-,949,115
1946,Oct,FL 2,1,-,980,75
1947,Aug,TX 1,1,-,984,70
1947,Sep,FL 4; LA 2; MS 2,4,-,943,115
1947,Oct,GA 2; SC 2; FL 1,2,-,965,90
1948,Sep,LA 1,1,-,983,70
1948,Sep,FL 4,4,-,940,115
1948,Oct,FL 2,2,-,963,90
1949,Aug,NC 1,1,-,977,70
1949,Aug,FL 4; GA 1,4,-,954,115
1949,Oct,TX 2,2,-,965,95
1950,Aug,AL 1; FL 1,1,Baker,979,75
1950,Sep,FL 3,3,Easy,960,105
1950,Oct,FL 4,4,King,955,115
1952,Aug,SC 2,2,Able,980,85
1953,Aug,NC 1,1,Barbara,975,80
1953,Sep,FL 1,1,Florence,975,80
1953,Oct,FL 1,1,Hazel,980,75
1954,Aug,NY 3; CT 3; RI 3; MA 2; NC 1,3,Carol,955,100
1954,Sep,MA 2; NC 1; NY 1; RI 1,2,Edna,950,95
1954,Oct,SC 4; NC 4,4,Hazel,938,115
1955,Aug,NC 2; VA 1,2,Connie,962,85
1955,Sep,NC 2,2,Ione,955,90
1956,Sep,LA 1; FL 1,1,Flossy,974,75
1957,Jun,LA 3; TX 2,3,Audrey,946,110
1958,Sep,NC 3,3,Helene,938,110
1959,Jul,SC 1,1,Cindy,995,65
1959,Jul,TX 1,1,Debra,980,75
1959,Sep,SC 4,4,Gracie,951,115
1960,Sep,FL 4; NC 2; VA 1; NY 2; CT 1; RI 1; MA 1,4,Donna,930,125
1960,Sep,LA 1; MS 1,1,Ethel,980,980
1961,Sep,TX 4,4,Carla,931,-
1963,Sep,TX 1,1,Cindy,996,-
1964,Aug,FL 2,2,Cleo,968,-
1964,Sep,FL 2,2,Dora,966,-
1964,Oct,LA 3,3,Hilda,950,-
1964,Oct,FL 2,2,Isbell,974,-
1965,Sep,FL 3; LA 3,3,Betsy,948,-
1966,Jun,FL 2,2,Alma,982,-
1966,Oct,FL 1,1,Inez,983,-
1967,Sep,TX 3,3,Beulah,950,-
1968,Oct,FL 2,2,Gladys,977,-
1969,Aug,LA 5; MS 5,5,Camille,909,-
1969,Sep,ME 1,1,Gerda,980,-
1970,Aug,TX 3,3,Celia,945,-
1971,Sep,LA 2,2,Edith,978,-
1971,Sep,TX 1,1,Fern,979,-
1971,Sep,NC 1,1,Ginger,995,-
1972,Jun,FL 1; NY 1; CT 1,1,Agnes,980,-
1974,Sep,LA 3,3,Carmen,952,-
1975,Sep,FL 3; AL1,3,Eloise,955,-
1976,Aug,NY 1,1,Belle,980,-
1977,Sep,LA 1,1,Babe,995,-
1979,Jul,LA 1,1,Bob,986,-
1979,Sep,FL 2; GA 2; SC 2,2,David,970,-
1979,Sep,AL 3; MS 3,3,Frederic,946,-
1980,Aug,TX 3,3,Allen,945,100
1983,Aug,TX 3,3,Alicia,962,100
1984,Sep,NC 2,2,Diana,949,95
1985,Jul,SC 1,1,Bob,1003,65
1985,Aug,LA 1,1,Danny,987,80
1985,Sep,AL 3; MS 3; FL 3,3,Elena,959,100
1985,Sep,NC 3; NY 3; CT 2; NH 2; ME 1,3,Gloria,942,90
1985,Oct,LA 1,1,Juan,971,75
1985,Nov,FL 2; GA 1,2,Kate,967,85
1986,Jun,TX 1,1,Bonnie,990,75
1986,Aug,NC 1,1,Charley,990,65
1987,Oct,FL 1,1,Floyd,993,65
1988,Sep,LA 1,1,Florence,984,70
